source_id,subject,deck,deck_number,slide_number,category,title,text,source_pdf
HDT-02-S01,Hadith,Hadith-02,2,1,hadith_text,HADITH 2,"HADITH 2
‫حديث‬",Hadith 2.pdf 2.pdf
HDT-02-S02,Hadith,Hadith-02,2,2,source_note,Learning objectives,"Learning objectives
Isnaad/Sanad
Matn
Classification of Hadith",Hadith 2.pdf 2.pdf
HDT-02-S03,Hadith,Hadith-02,2,3,source_note,aad/San,"aad/San
n a
Is d
Hadith
Matn",Hadith 2.pdf 2.pdf
HDT-02-S04,Hadith,Hadith-02,2,4,source_note,Isnaad/Sanad (Unbroken Chain),"Isnaad/Sanad (Unbroken Chain)
It is a chain of narrators who transmit a hadith from the
prophet all the way to the muhaddith who recorded it",Hadith 2.pdf 2.pdf
HDT-02-S05,Hadith,Hadith-02,2,5,source_note,Matn,"Matn
The main text of the hadith",Hadith 2.pdf 2.pdf
HDT-02-S06,Hadith,Hadith-02,2,6,note,‫‪Example‬‬,"‫‪Example‬‬
‫ق ال أحمد ب حنبل ف ي مسنده (ح‪:)5862‬‬
‫حدثنا محمد ب إ دريس الش اف عي ‪ ،‬أخ برنا‬ ‫ن‬
‫مالك‪ ،‬ع ناف ع‪ ،‬ع اب عمر‪ ،‬أن رسول الله‬ ‫ن‬
‫ن‬ ‫ن‬ ‫ن‬
‫َق اَل ‪( :‬اَل َيِبيُع َبْع ُض ُك ْم َع َل ى َبْيِع َبْع ٍض )‪.‬‬",Hadith 2.pdf 2.pdf
HDT-02-S07,Hadith,Hadith-02,2,7,source_note,Grave warning on misquoting or lying about the,"Grave warning on misquoting or lying about the
Hadith of the Prophet (SAW)
The Prophet (SAW) said, “Whoever tells a lie about me intentionally, then let
him take his seat in the fire.” (Al Tirmidhi)
The Prophet (SAW) said, “Ascribing false things to me is not like
ascribing false things to anyone else. Whosoever tells a lie against me
intentionally then surely let him occupy his seat in Hellfire.”
(Al Bukhari)",Hadith 2.pdf 2.pdf
HDT-02-S08,Hadith,Hadith-02,2,8,note,‫ ف لوال اإل سناد لق ال م ش اء ما ش اء‬. ‫اإل سناد م الدي‬,"‫ ف لوال اإل سناد لق ال م ش اء ما ش اء‬. ‫اإل سناد م الدي‬
‫ن‬ ‫ن‬ ‫ن‬
ʿAbdullah ibn al-Mubārak said, “Isnād is an intrinsic part of this
religion. If it was not for the isnād then anyone could have said
whatever they wanted to say.”",Hadith 2.pdf 2.pdf
HDT-02-S09,Hadith,Hadith-02,2,9,note,Classification of Hadith,"Classification of Hadith
Sahih
Hasan
Daeef",Hadith 2.pdf 2.pdf
HDT-02-S10,Hadith,Hadith-02,2,10,source_note,Sahih,"Sahih
Continuity of the Chain of Narrators
Uprightness of the narrators
Accuracy in memory and relaying of the Hadith
Non-contradictory
Absence of defects",Hadith 2.pdf 2.pdf
HDT-02-S11,Hadith,Hadith-02,2,11,source_note,Hasan,"Hasan
Continuity of the Chain of Narrators
Uprightness of the narrators
Weakness in memory and relaying of the Hadith
Non-contradictory
Absence of defects",Hadith 2.pdf 2.pdf
HDT-02-S12,Hadith,Hadith-02,2,12,source_note,Daeef,"Daeef
A narration that does not meet the condition of a Sahih
Hadith or Hasan Hadith.",Hadith 2.pdf 2.pdf
HDT-02-S13,Hadith,Hadith-02,2,13,source_note,Questions,"Questions
Define Sanad/Isnaad
What is the importance of Sanad?
What is a Matn
Define the classifications of Hadith",Hadith 2.pdf 2.pdf
HDT-03-S01,Hadith,Hadith-03,3,1,hadith_text,HADITH 3,"HADITH 3
‫حديث‬",Hadith 3.pdf
HDT-03-S02,Hadith,Hadith-03,3,2,source_note,What is the Arba’een,"What is the Arba’een
Weak Hadith which explains the Fadeelah (virtue) of
memorizing 40 Ahadith
Compilation of 40 Ahadith
A concise and easy read for the masses
Many Ulama have compiled their own",Hadith 3.pdf
HDT-03-S03,Hadith,Hadith-03,3,3,preview,Preview of the Hadith,"Preview of the Hadith
Umar RA is the narrator of this hadith
Hadithul Mimbar
Many Muhaddithoon would begin their compilation of
Hadith books with this specific hadith",Hadith 3.pdf
HDT-03-S04,Hadith,Hadith-03,3,4,hadith_text,Hadith 1,"Hadith 1
‫ِا َّن ا اَاْل ْع اُل ِبالِّنَّياِت‬
‫َم‬ ‫َم‬
“Actions are only upon their intentions”",Hadith 3.pdf
HDT-03-S05,Hadith,Hadith-03,3,5,context,Core aspects and context,"Core aspects and context
The Prophet (SAW) is narrating this hadith after the
Hijrah
Muhajir Umm Qays
Both action and intention must be pure",Hadith 3.pdf
HDT-03-S06,Hadith,Hadith-03,3,6,explanation,Imam Ghazalis explanation of Niyyah,"Imam Ghazalis explanation of Niyyah
There is no Niyyah in acts of disobedience
Intention is needed in worship and righteous deeds
You can make multiple intentions for a single deed
A strong Niyyah can turn mubah actions into reward",Hadith 3.pdf
HDT-03-S07,Hadith,Hadith-03,3,7,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 3.pdf
HDT-04-S01,Hadith,Hadith-04,4,1,hadith_text,HADITH 25,"HADITH 25
‫﮵‬
‫ﺣﺪ ث‬",Hadith 4.pdf
HDT-04-S02,Hadith,Hadith-04,4,2,narrator,Narrator of this hadith,"Narrator of this hadith
‘Aishah RA",Hadith 4.pdf
HDT-04-S03,Hadith,Hadith-04,4,3,hadith_text,Hadith 28,"Hadith 28
‫َو اَل‬ ‫ا‬ ‫ََش‬ ‫ِح‬‫ا‬ ‫َف‬ ‫ِب‬ ‫َّن‬‫ال‬ ‫ِن‬ ‫ُك‬ ‫َل‬
‫ُّي‬ ‫َي‬ ‫ْم‬
ِ
‫ُﻣ ﮴َ َ﮲ ّﺤ ﮶َﺴا‬
“The Prophet was not vulgar, nor did he adopt obscene
habits.”",Hadith 4.pdf
HDT-04-S04,Hadith,Hadith-04,4,4,narrator,Narrator of this hadith,"Narrator of this hadith
‘Aishah RA",Hadith 4.pdf
HDT-04-S05,Hadith,Hadith-04,4,5,hadith_text,Hadith 29,"Hadith 29
‫ِز ِبال ِّيَئِة‬ ‫ِب‬ ‫َّن‬‫ال‬ ‫ِن‬ ‫ُك‬ ‫َل‬
‫ُّي َيْج ْي َّس‬ ‫ْم َي‬
‫ﺼ‬ ‫﮵‬ ‫و‬ ‫ﻮ‬ ‫ﻌ‬ ‫﮵‬ ‫ﮟ‬‫ﻜ‬ِ ‫ﻟ‬ ‫و‬ ‫ﺔ‬
‫َّ ّ َٔ َ َ ْ﮲ َ ْ ُ﮲ ْ َ َ ْ َ﮲ ُح‬ ِ ‫﮵‬ ‫اﻟﺴ‬
“The Prophet SAW would never avenge an evil with
another evil, rather, he would forgive and forget.”",Hadith 4.pdf
HDT-04-S06,Hadith,Hadith-04,4,6,narrator,Narrator of this hadith,"Narrator of this hadith
Jarir bin Abdillah RA",Hadith 4.pdf
HDT-04-S07,Hadith,Hadith-04,4,7,hadith_text,Hadith 30,"Hadith 30
َ‫اﻟﺮ ْ﮲ َﻖ ﮵ُ ْﺤﺮ ِم ا ْﻟ َ﮲ﺤ ْ﮵ﺮ ُ ّﳇُه‬
ِ ‫م‬
ِ ‫ﺮ‬ ‫ﺤ‬
ْ ُ ‫﮵‬ ‫ﮟ‬ ‫ﻣ‬
َ َ ّ َ ّ ‫َ ْ﮲‬
“Whoever is deprived of gentleness is deprived of all
goodness.”",Hadith 4.pdf
HDT-04-S08,Hadith,Hadith-04,4,8,assignment,Assignment,"Assignment
Memorize all three Hadith
Write the Hadith in Arabic with the english
translation
Write a brief summary of the Ahadith",Hadith 4.pdf
HDT-05-S01,Hadith,Hadith-05,5,1,hadith_text,HADITH 5,"HADITH 5
‫ي‬
‫حد ث‬",Hadith 5.pdf
HDT-05-S02,Hadith,Hadith-05,5,2,preview,Preview of the Hadith,"Preview of the Hadith
‘Irbaad ibn Saariyah is the narrator of this hadith
A few companions realized this maybe one of the final
advises they will recieve from the prophet saw
From the Muhajiroon and of the early muslims. Passed
away in Syria.",Hadith 5.pdf
HDT-05-S03,Hadith,Hadith-05,5,3,hadith_text,Hadith 2,"Hadith 2
‫ِت‬ ‫ِب‬
‫َع َل ْيُك ْم ُس ي‬
‫َّن‬
“Adhere to my Sunnah”",Hadith 5.pdf
HDT-05-S04,Hadith,Hadith-05,5,4,context,Core aspects and context,"Core aspects and context
This Hadith is being narrated towards the end of the
prophet saws life.
In every situation hold tightly to the Sunnah.
By holding onto the Sunnah, it will protect you.",Hadith 5.pdf
HDT-05-S05,Hadith,Hadith-05,5,5,note,Understanding Sunnah,"Understanding Sunnah
Literal meaning of Sunnah
What does the Sunnah mean from a broad perspective
Why is following Sunnah important
Living life according to the Sunnah",Hadith 5.pdf
HDT-05-S06,Hadith,Hadith-05,5,6,note,The difference between ita’ah and ittibaa’,"The difference between ita’ah and ittibaa’
Ita’ah is to obey a command
Ittibaa’ is to follow",Hadith 5.pdf
HDT-05-S07,Hadith,Hadith-05,5,7,hadith_text,Hadith 3,"Hadith 3
‫الل‬
‫َض ٌة‬ ‫ٍة‬‫دع‬ ‫ِب‬ ‫ُّلُك‬
“Every innovation is misguidance”",Hadith 5.pdf
HDT-05-S08,Hadith,Hadith-05,5,8,preview,Preview of the Hadith,"Preview of the Hadith
‘Irbaad ibn Saariyah is the narrator of this hadith
A few companions realized this maybe one of the final
advises they will recieve from the prophet saw
From the Muhajiroon and of the early muslims. Passed
away in Syria.",Hadith 5.pdf
HDT-05-S09,Hadith,Hadith-05,5,9,context,Core aspects and context,"Core aspects and context
The prophet saw is explaining to the companions that
you will see disputes and argumentations. During this
period hold onto my sunnah and don’t distort it with
innovations.",Hadith 5.pdf
HDT-05-S10,Hadith,Hadith-05,5,10,note,Understanding Bid’ah,"Understanding Bid’ah
2 types of bid’ah. Bidah Hasana and Bidah Sayyiah
Is every innovation bad?
How do you determine if something is bid’ah or not?
To avoid Bid’ah you must adhere to the sunnah and the
ways of the first 3 generations",Hadith 5.pdf
HDT-05-S11,Hadith,Hadith-05,5,11,note,Sunnah is the middle ground,"Sunnah is the middle ground
Bid’ah Following the Sunnah Conflicting the
Sunnah",Hadith 5.pdf
HDT-05-S12,Hadith,Hadith-05,5,12,assignment,Assignment,"Assignment
Memorize both Hadith",Hadith 5.pdf
HDT-06-S01,Hadith,Hadith-06,6,1,hadith_text,HADITH 6,"HADITH 6
‫ي‬
‫حد ث‬",Copy of Hadith 6 .pdf
HDT-06-S02,Hadith,Hadith-06,6,2,preview,Preview of the Hadith,"Preview of the Hadith
Abu Hurairah RA is the narrator of this hadith
Aqra’ Bin Haabis RA was a leader amongst the arabs in
Jaahiliyyah (period of ignorance). He came with Banu
Tamim to accept Islaam.",Copy of Hadith 6 .pdf
HDT-06-S03,Hadith,Hadith-06,6,3,source_note,Abu Hurairah RA,"Abu Hurairah RA
th
Accepted Islaam after the 7 year of Hijri
Narrated the most Hadith
Lived amongst the Ashaabus Suffa
Passed away in Madina 69 - 70 years after Hijri",Copy of Hadith 6 .pdf
HDT-06-S04,Hadith,Hadith-06,6,4,context,Core aspects and context,"Core aspects and context
It was unusual for the Arabs to express love as it was
deemed as a sign of softness
The prophet (saw) is teaching the Ummah that
expressing ones love is indeed a sign that Allah is
showing mercy to that individual",Copy of Hadith 6 .pdf
HDT-06-S05,Hadith,Hadith-06,6,5,hadith_text,Hadith 4,"Hadith 4
‫اَل‬ ،
‫َيْر َح ْم ُيْر َح ْم‬ ‫اَّل‬ ‫َم‬
‫ن‬
“Whosoever does not show mercy,
will not be shown mercy”.",Copy of Hadith 6 .pdf
HDT-06-S06,Hadith,Hadith-06,6,6,explanation,The meaning of Rahma,"The meaning of Rahma
To have softness and a tender feeling initially
The feeling then translates to action through
compassion and benevelonce",Copy of Hadith 6 .pdf
HDT-06-S07,Hadith,Hadith-06,6,7,assignment,Assignment,"Assignment
Memorize this Hadith",Copy of Hadith 6 .pdf
HDT-07-S01,Hadith,Hadith-07,7,1,hadith_text,HADITH 7,"HADITH 7
‫ي‬
‫حد ث‬",Hadith 7 .pdf
HDT-07-S02,Hadith,Hadith-07,7,2,note,Hudhaifa ibnul Yamaan,"Hudhaifa ibnul Yamaan
Known as the keeper of secrets. The Prophet SAW told
him names of the hypocrites and about impending
trials that will afflict the Ummah.
He passed away 40 days after the assassination of
Uthman RA
He would specifically ask the Prophet SAW about
adversitites",Hadith 7 .pdf
HDT-07-S03,Hadith,Hadith-07,7,3,preview,Preview of the Hadith,"Preview of the Hadith
Hudhaifah ibnul Yamaan RA is the narrator of this
hadith
There was a man who would go and give reports to the
Ameer (leader). One day he was passing by and
decided to sit in a gathering of Hudhaifah RA with
other Muslims.",Hadith 7 .pdf
HDT-07-S04,Hadith,Hadith-07,7,4,context,Core aspects and context,"Core aspects and context
“Backbiting is more severe than Zina”
Slandering is worse than backbiting
Islaam protects the honor of believers",Hadith 7 .pdf
HDT-07-S05,Hadith,Hadith-07,7,5,hadith_text,Hadith 5,"Hadith 5
‫ٌت‬‫ا‬ ‫َّت‬ ‫َق‬ ‫ْل‬‫ا‬ ‫َة‬ ‫َّن‬ ‫َج‬ ‫ْل‬ ‫َا‬ ‫ُل‬ ‫ُخ‬ ‫َيْد‬ ‫اَل‬
“The Slanderer will not enter
paradise”.",Hadith 7 .pdf
HDT-07-S06,Hadith,Hadith-07,7,6,note,The need to Slander,"The need to Slander
You have insecurities and low self-worth
You’re jealous of the person you slander
You attribute your own faults on to that person
Bonding with people through gossip",Hadith 7 .pdf
HDT-07-S07,Hadith,Hadith-07,7,7,note,The Cure,"The Cure
Remember it is the responsibility of every single
believer to protect the ‘izzah (Honor) of the Muslims
Developing Husn AlDhann
Seeking forgiveness from the person you wronged
Remember on the day of judgement you will be held
accountable",Hadith 7 .pdf
HDT-07-S08,Hadith,Hadith-07,7,8,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 7 .pdf
HDT-09-S01,Hadith,Hadith-09,9,1,hadith_text,HADITH 9,"HADITH 9
‫ي‬
‫حد ث‬",Hadith 9.pdf
HDT-09-S02,Hadith,Hadith-09,9,2,note,Jabir ibn Abdillah Al Ansari,"Jabir ibn Abdillah Al Ansari
He was the youngest companion present during the
second Bay’atul ‘Aqabah
He was considered a Mufti amongst the companions
From the group of companions who were present during
the second Bay’ah, he was the last to pass away.
He passed away approximately at the age of 94.",Hadith 9.pdf
HDT-09-S03,Hadith,Hadith-09,9,3,preview,Preview of the Hadith,"Preview of the Hadith
The messenger SAW is giving us a description of what the
consequence of oppression will be on the Day of
Judgment",Hadith 9.pdf
HDT-09-S04,Hadith,Hadith-09,9,4,hadith_text,Hadith 6,"Hadith 6
‫َا ْلِق ا ِة‬ ‫ا‬ ‫ُل‬ ‫ُظ‬ ‫ْل‬ ‫ُّظ‬‫ل‬ ‫َا‬
‫َي َم‬ ‫َم‬ ‫َيْو‬ ‫ٌت‬ ‫ُم َم‬
“Oppression will be darkness on
the Day of Judgement”.",Hadith 9.pdf
HDT-09-S05,Hadith,Hadith-09,9,5,note,‫?‪What is oppresion‬‬,"‫?‪What is oppresion‬‬
‫‪To place something where it does not belong‬‬
‫‪Oppression manifests in many ways‬‬
‫«يا عبادي‪ ،‬إني حَّرمُت الظلم عىل نفسي‪ ،‬وجعلُته بينكم محرًم ا‪ ،‬فال َتظالموا»‪،‬‬
‫وقال هللا تعاىل‪ِ{ :‬إَّن َهَّللا اَل َيْظ ِلُم الَّناَس َش ْي ًئا}‬",Hadith 9.pdf
HDT-09-S06,Hadith,Hadith-09,9,6,note,Different forms of Dhulm (oppression),"Different forms of Dhulm (oppression)
The worst form of oppression is shirk (associating partners
with Allah)
Oppressing yourself (persisting in sin, neglecting
obligations)
Oppressing others (physical, social, emotional, financial)",Hadith 9.pdf
HDT-09-S07,Hadith,Hadith-09,9,7,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 9.pdf
HDT-10-S01,Hadith,Hadith-10,10,1,hadith_text,HADITH 10,"HADITH 10
‫ي‬
‫حد ث‬",Hadith 10.pdf
HDT-10-S02,Hadith,Hadith-10,10,2,preview,Preview of the Hadith,"Preview of the Hadith
The messenger SAW is molding the attitude a believer
should have towards this world.",Hadith 10.pdf
HDT-10-S03,Hadith,Hadith-10,10,3,hadith_text,Hadith 7,"Hadith 7
‫ِف‬ ‫ِم‬ ‫ِس‬
‫َا لُّد ْنَيا ْج ُن اْلُم ْؤ ِن َو َج َّنُة اْلَاك ِر‬
“The world is a prison for a
believer and a paradise for the
disbeliever”.",Hadith 10.pdf
HDT-10-S04,Hadith,Hadith-10,10,4,note,Freedom vs Restriction,Freedom vs Restriction,Hadith 10.pdf
HDT-10-S05,Hadith,Hadith-10,10,5,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 10.pdf
HDT-11-S01,Hadith,Hadith-11,11,1,hadith_text,HADITH 11,"HADITH 11
‫ي‬
‫حد ث‬",Hadith 11.pdf
HDT-11-S02,Hadith,Hadith-11,11,2,note,Discussion point,"Discussion point
Have we lost the essence of Ramadan?
The hunger we experience is meant to aid us in abstaining
from sin, not just our diet.
We don’t anticipate the worship, rather we start preparing
for iftaar dawats, trying new recipes, and taraweeh
becomes a time where socializing is the primary objective.
Suhoor Fests and the marketization of Ramadan",Hadith 11.pdf
HDT-11-S03,Hadith,Hadith-11,11,3,hadith_text,Hadith 8,"Hadith 8
‫ا‬
‫َي ُم ُج َّنٌة‬ ‫ِّص‬‫ال‬
“Fasting is a shield”",Hadith 11.pdf
HDT-11-S04,Hadith,Hadith-11,11,4,note,The purpose of hunger and Fasting,"The purpose of hunger and Fasting
Fasting is a prescription, prescribed to us by our creator
Hunger builds self-restraint and disciplne
Hunger tames the nafs
Fasting teaches patience and delayed gratification
Fasting is a shield from sin and evil forces
The reward for fasting is unquantifiable",Hadith 11.pdf
HDT-11-S05,Hadith,Hadith-11,11,5,note,Make this Ramadan unforgettable,"Make this Ramadan unforgettable
Ramadan is a building block
Make a realistic schedule that you can follow
Start preparing from now
Attend Taraweeh every night and praying salah in congregation
Recite a portion of Quran daily (aim for a khatam)
Daily adhkaar
Aim to finish a book of Seerah during this month",Hadith 11.pdf
HDT-11-S06,Hadith,Hadith-11,11,6,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 11.pdf
HDT-12-S01,Hadith,Hadith-12,12,1,hadith_text,HADITH 12,"HADITH 12
‫﮵‬
‫ﺣﺪ ﺚ‬",Hadith 12 .pdf
HDT-12-S02,Hadith,Hadith-12,12,2,narrator,Narrator of this hadith,"Narrator of this hadith
From the ummahatul mumineen, Aisha bint abi bakr RA
She was a scholar in her own right, narrating over 2,000
Ahadith.
Senior comapnions would seek advice and fatawa from her",Hadith 12 .pdf
HDT-12-S03,Hadith,Hadith-12,12,3,hadith_text,Hadith 8,"Hadith 8
َ‫ َو ِٕان أ ﮴َ ّﻞ‬،‫ﺎل ِٕا َﻟﻰ اﻟ َّﻠ ِﻪ َأ ْد َو ُﻣ َﻬﺎ‬
ِ ‫ﻤ‬ ‫ﻋ‬
ْ ‫اﻻ‬
ٔ ْ ‫ﺐ‬ُ ‫ﺣ‬‫ا‬َ
ْ َ ّ َ
“The most beloved actions to
Allah are the ones consistently
done, even if a little.”",Hadith 12 .pdf
HDT-12-S04,Hadith,Hadith-12,12,4,note,Consistency over Intensity,"Consistency over Intensity
Consistency builds habits. Habits define who you really
are.
Consistency in deeds brings delayed gratification
Intense sessions of an action will bring instant gratification
and a false sense of accomplishment",Hadith 12 .pdf
HDT-12-S05,Hadith,Hadith-12,12,5,note,Build towards the best version of yourself,"Build towards the best version of yourself
Ramadan is the perfect example of this comparison
Majority of people do not maintain the good habits they’ve
built during this month
Being consistent",Hadith 12 .pdf
HDT-12-S06,Hadith,Hadith-12,12,6,note,Build towards the best version of yourself,"Build towards the best version of yourself
Are we satisfied with our current state?
Build towards achieving something this Ramadan
The opportunity to bring change to your habits,
perspective of life, and your imaan is now",Hadith 12 .pdf
HDT-12-S07,Hadith,Hadith-12,12,7,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 12 .pdf
HDT-13-S01,Hadith,Hadith-13,13,1,hadith_text,HADITH 13,"HADITH 13
‫ي‬
‫حد ث‬",Hadith 13 .pdf
HDT-13-S02,Hadith,Hadith-13,13,2,narrator,Narrator of this hadith,"Narrator of this hadith
Abdullah bin Masood
He was amongst the forerunners to islam. (Assabiqoonal
Awwaloon)
He was an Aalim amongst the companions
He partook in the battle of badr
He migrated during the 2 hijras",Hadith 13 .pdf
HDT-13-S03,Hadith,Hadith-13,13,3,hadith_text,Hadith 9,"Hadith 9
‫َل‬
‫َب ُه‬ ‫ْن‬ ‫َذ‬ ‫اَل‬ ‫َم‬ ‫َك‬ ‫ِب‬ ‫ْن‬ ‫َّذ‬‫ل‬‫ا‬ ‫ِم‬ ‫َا لَّتاِئ‬
‫ْن‬ ‫ن‬ ‫ُب‬
“The one who repents from sin, is
like the one who has no sin.”",Hadith 13 .pdf
HDT-13-S04,Hadith,Hadith-13,13,4,note,What is Tawbah?,"What is Tawbah?
Tawbah is to repent. Specifically repentance from major
sins.
Minor deeds can be forgiven via many deeds. Tawbah is
necessary to have your major sins forgiven.",Hadith 13 .pdf
HDT-13-S05,Hadith,Hadith-13,13,5,note,The conditions for a successful Tawbah,"The conditions for a successful Tawbah
Being sincere to Allah with your tawbah
To recognize that you have committed a grave sin
You must have a feeling of regret over the action committed
You must have a strong resolve that you will never return to this
action again",Hadith 13 .pdf
HDT-13-S06,Hadith,Hadith-13,13,6,assignment,Assignment,"Assignment
Memorize this Hadith",Hadith 13 .pdf
HDT-14-S01,Hadith,Hadith-14,14,1,hadith_text,HADITH 13,"HADITH 13
‫﮵‬
‫ﺣﺪ ث‬",Hadith 14 .pdf
HDT-14-S02,Hadith,Hadith-14,14,2,narrator,Narrator of this hadith,"Narrator of this hadith
Abu Hurairah RA",Hadith 14 .pdf
HDT-14-S03,Hadith,Hadith-14,14,3,hadith_text,Hadith 10,"Hadith 10
‫ِإ ْيَم انََا َأ ْح َس ُن ُه ْم ُخ ُل ق ََا‬ ‫َا ْك َم ُل َا ْلُم ْؤ ِم ِن‬
‫َن‬ ‫ْي‬
“The most perfect of believers is
the one with the best of manners.”",Hadith 14 .pdf
HDT-14-S04,Hadith,Hadith-14,14,4,note,Levels of Imaan,"Levels of Imaan
What is Imaan?
Imaan is intangible
A person can have deficiencies in their imaan",Hadith 14 .pdf
HDT-14-S05,Hadith,Hadith-14,14,5,note,Is being a good person sufficient for salvation?,Is being a good person sufficient for salvation?,Hadith 14 .pdf
HDT-14-S06,Hadith,Hadith-14,14,6,narrator,Narrator of this hadith,"Narrator of this hadith
Abu Malik Al Harith Al Ash’ari",Hadith 14 .pdf
HDT-14-S07,Hadith,Hadith-14,14,7,hadith_text,Hadith 11,"Hadith 11
‫َا ُّط ُه ْو ُر َش ْط ُر اِاْل ْيَم اِن‬
“Purification is half of faith.”",Hadith 14 .pdf
HDT-14-S08,Hadith,Hadith-14,14,8,note,True purification,"True purification
The objective is to achieve inner purification
Inner purification can only be achieved once the exterior is
clean and pure
Every act of worship is linked to being in a pure state",Hadith 14 .pdf
HDT-14-S09,Hadith,Hadith-14,14,9,note,Exterior purity will lead to inner purity,"Exterior purity will lead to inner purity
Knowing the rules of Taharah thoroughly
Being very cautious when using the bathroom
Many times our OCD comes from shaytaan.
When achieving purification, be diligent in your method and
avoid waswasa from Shaytaan",Hadith 14 .pdf
HDT-14-S10,Hadith,Hadith-14,14,10,assignment,Assignment,"Assignment
Memorize both Hadith",Hadith 14 .pdf
HDT-15-S01,Hadith,Hadith-15,15,1,hadith_text,HADITH 15,"HADITH 15
‫﮵‬
‫ﺣﺪ ث‬",Hadith 15.pdf
