id,source_id,topic,surah_number,surah_name,ayah,arabic_text_uthmani,arabic_text_indopak,reference_translation,commentary,source_pdf,canonical_arabic_source
TFS-MAU-003,TFS-MAU-03,MAU,107,Al-Maun,3,وَلَا يَحُضُّ عَلَىٰ طَعَامِ ٱلْمِسْكِينِ,وَ لَا يَحُضُّ عَلٰى طَعَامِ الۡمِسۡكِيۡنِؕ,And does not encourage the feeding of the poor,"La yahuddu means does not encourage, urge, or motivate others. | The problem is not only action but mindset: if I encourage others, I will also be expected to give.",Surah Maun.pdf,Quran.com Quran Foundation API
TFS-MAU-004,TFS-MAU-04,MAU,107,Al-Maun,4,فَوَيْلٌ لِّلْمُصَلِّينَ,فَوَيۡلٌ لِّلۡمُصَلِّيۡنَۙ,So woe to those who pray,"Wayl means woe, destruction, and ruin. | Wayl can also refer to a valley or place within Hell. | Al-musallin means those who pray.",Surah Maun.pdf,Quran.com Quran Foundation API
TFS-MAU-005,TFS-MAU-05,MAU,107,Al-Maun,5,ٱلَّذِينَ هُمْ عَن صَلَاتِهِمْ سَاهُونَ,الَّذِيۡنَ هُمۡ عَنۡ صَلَاتِهِمۡ سَاهُوۡنَۙ,Those who are unmindful of their prayers,Being unmindful includes delaying prayer past its time and being negligent or careless about it.,Surah Maun.pdf,Quran.com Quran Foundation API
TFS-MAU-006,TFS-MAU-06,MAU,107,Al-Maun,6,ٱلَّذِينَ هُمْ يُرَآءُونَ,الَّذِيۡنَ هُمۡ يُرَآءُوۡنَۙ,those who show off,"Showing off includes acting out of embarrassment, social pressure, or for display. | Signs of ikhlas include consistency in private and public, dislike of praise, accepting advice, dislike of leadership, and self-awareness.",Surah Maun.pdf,Quran.com Quran Foundation API
TFS-MAU-007,TFS-MAU-07,MAU,107,Al-Maun,7,وَيَمْنَعُونَ ٱلْمَاعُونَ,وَيَمۡنَعُوۡنَ الۡمَاعُوۡنَ,And they refuse to show small acts of kindness,"Ibn Mas'ud said that in the time of the Prophet ﷺ, al-Ma'un was understood as lending a bucket, cooking pot, or small household tools. | Ibn Abbas interpreted it as zakat.",Surah Maun.pdf,Quran.com Quran Foundation API
TFS-KAW-001,TFS-KAW-01,KAW,108,Al-Kawthar,1,إِنَّآ أَعْطَيْنَـٰكَ ٱلْكَوْثَرَ,اِنَّاۤ اَعۡطَيۡنٰكَ الۡكَوۡثَرَؕ,"Indeed, We have granted you abundant goodness",Al-Kawthar refers to the river of Al-Kawthar in Jannah and to abundant goodness.,Surah Kawthar.pdf,Quran.com Quran Foundation API
TFS-KAW-002,TFS-KAW-02,KAW,108,Al-Kawthar,2,فَصَلِّ لِرَبِّكَ وَٱنْحَرْ,فَصَلِّ لِرَبِّكَ وَانۡحَرۡ ؕ,So pray and sacrifice to your Lord,The verse mentions two acts of shukr: salah as worship of the body and nahr as worship through wealth.,Surah Kawthar.pdf,Quran.com Quran Foundation API
TFS-KAW-003,TFS-KAW-03,KAW,108,Al-Kawthar,3,إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,اِنَّ شَانِئَكَ هُوَ الۡاَبۡتَرُ,Indeed your enemy is truly cut off,The Quraysh thought the Prophet ﷺ would be forgotten. | His enemies are remembered only because of their opposition to him.,Surah Kawthar.pdf,Quran.com Quran Foundation API
TFS-KAF-001,TFS-KAF-01,KAF,109,Al-Kafirun,1,قُلْ يَـٰٓأَيُّهَا ٱلْكَـٰفِرُونَ,قُلۡ يٰۤاَيُّهَا الۡكٰفِرُوۡنَۙ,"Say, ""O you disbelievers!""","Three major terms related to disbelief are kufr, shirk, and nifaq.",Surah Kafirun.pdf,Quran.com Quran Foundation API
TFS-KAF-002,TFS-KAF-02,KAF,109,Al-Kafirun,2,لَآ أَعْبُدُ مَا تَعْبُدُونَ,لَاۤ اَعۡبُدُ مَا تَعۡبُدُوۡنَۙ,"I do not worship what you worship,","Ibadah is a comprehensive term for everything Allah loves and is pleased with from statements and actions, whether inward or outward. | Ibadah entails unconditional obedience, love for Allah above all else, khashyah, sincerity, and accordance with the Sunnah.",Surah Kafirun.pdf,Quran.com Quran Foundation API
TFS-KAF-003,TFS-KAF-03,KAF,109,Al-Kafirun,3,وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ,وَلَاۤ اَنۡـتُمۡ عٰبِدُوۡنَ مَاۤ اَعۡبُدُ​ ۚ,nor do you worship what I worship.,"Allah rejects the proposal completely. | Even if the disbelievers performed acts directed to Allah, their worship would not be accepted because it was corrupted by shirk.",Surah Kafirun.pdf,Quran.com Quran Foundation API
TFS-KAF-004,TFS-KAF-04,KAF,109,Al-Kafirun,4,وَلَآ أَنَا۠ عَابِدٌ مَّا عَبَدتُّمْ,وَلَاۤ اَنَا عَابِدٌ مَّا عَبَدۡتُّمۡۙ,"I will never worship what you worship,","The repetition emphasizes rejection across present and future, action and acceptance, and action and methodology.",Surah Kafirun.pdf,Quran.com Quran Foundation API
TFS-KAF-005,TFS-KAF-05,KAF,109,Al-Kafirun,5,وَلَآ أَنتُمْ عَـٰبِدُونَ مَآ أَعْبُدُ,وَ لَاۤ اَنۡـتُمۡ عٰبِدُوۡنَ مَاۤ اَعۡبُدُ ؕ,nor will you ever worship what I worship.,"The repetition emphasizes rejection across present and future, action and acceptance, and action and methodology.",Surah Kafirun.pdf,Quran.com Quran Foundation API
TFS-KAF-006,TFS-KAF-06,KAF,109,Al-Kafirun,6,لَكُمْ دِينُكُمْ وَلِىَ دِينِ,لَـكُمۡ دِيۡنُكُمۡ وَلِىَ دِيۡنِ,"You have your way, and I have my Way","By placing lakum and li first, the Qur'an conveys exclusivity (hasr). | Your religion is only for you and my religion is only for me; there will be no exchange, compromise, or mixing between the two. | This is not indifference or permission to believe whatever one wants, but a final declaration.",Surah Kafirun.pdf,Quran.com Quran Foundation API
